No.,Nama,Alamat,Negeri,Daerah,No. Tel,Fax
2316,MASJID AL-TAQWA,"LADANG TIGER GOLDEN HOPE/ SIME DARBY, JALAN MEROTAI, TAWAU.",SABAH,TAW - TAWAU,,
2317,MASJID DARUL SALAM,"KG. TANJUNG KELASO / RANGKANG, SADONG JAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2318,MASJID AL-HIJRAH,"FELDA LEPAR HILIR 05,06&amp;07, 26300 GAMBANG.",PAHANG,KUANTAN BARAT,,
2319,MASJID PANTAI JOHOR (AL-BUKHARI),"MUKIM PUMPONG, 05250 ALOR SETAR.",KEDAH,KOTA SETAR,,
2320,MASJID AS-SA'ADAH,"KAMPUNG KUALA SENTUL, 26500 MARAN.",PAHANG,MARAN,,
2321,MASJID NURUL IMAN,"TAWAU COCOA ESTATE QUION HILL, TAWAU",SABAH,TAW - TAWAU,,
2322,MASJID DARUL RAHMAN,"KAMPUNG RANGAWAN, SADONG JAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2323,MASJID AL-HUDA TELOK TEDURI,MUKIM PULAI 09100 BALING KEDAH DARUL AMAN,KEDAH,BALING,,
2324,MASJID JAMI'UL HASANAH,"KG. JAYA SETIA, 45600 BATANG BERJUNTAI",SELANGOR,KUALA SELANGOR,172843589,
2325,MASJID JABAL NUR,"KG. BUKIT KUKUSAN, TANJUNG BATU TENGAH, TAWAU.",SABAH,TAW - TAWAU,,
2326,MASJID KAMPUNG BARU JARA,KAMPUNG BARU JARA 26500 MARAN.,PAHANG,MARAN,,
2327,MASJID SELARONG PANJANG,MUKIM KANGKONG 06650 SIMPANG EMPAT.,KEDAH,KOTA SETAR,,
2328,MASJID ( F ) JENGKA 04,"FELDA JENGKA 04 26500 MARAN,",PAHANG,JENGKA,,
2329,MASJID DARUL SALAM,"KG. SADONG JAYA ULU, SADONG JAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2330,MASJID ( F ) JENGKA 05,FELDA JENGKA 05 26500 MARAN.,PAHANG,JENGKA,,
2331,MASJID DARUL DAKWAH,"KG. MEROTAI KECIL BAL, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2332,"MASJID NURUL IMAN, GULAU",KARIAH KG.GULAU MUKIM SOK 08210 SIK KEDAH,KEDAH,SIK,,
2333,MASJID AL- FATAH,"FELCRA SRI MAKMUR,26030 GAMBANG,",PAHANG,KUANTAN BARAT,,
2334,MASJID AN-NUR,"KAMPUNG TEBELU, SEBUYAU",SARAWAK,SIMUNJAN,,
2335,"MASJID AL-ISTIQAMAH, KUALA TERIANG","KUALA TERIANG, 07000 LANGKAWI",KEDAH,LANGKAWI,,
2336,MASJID DARUL AMAN,KAMPUNG SEBANGAN,SARAWAK,SIMUNJAN,,
2337,MASJID AT-TOHIR,"MASJID FELDA BUKIT TAJAU, 26500 MARAN.",PAHANG,MARAN,,
2338,MASJID DARUL REDZUAN,KAMPUNG SUNGAI LADONG,SARAWAK,SIMUNJAN,,
2339,MASJID PEKAN TAJAU,PEKAN TAJAU 26500 MARAN.,PAHANG,MARAN,,
2340,MASJID BABUR RAHMAN,KAMPUNG TUNGKAH MELAYU,SARAWAK,SIMUNJAN,,
2341,MASJID AL- EHSAN,"KAMPUNG SENTOSA,26500 MARAN,",PAHANG,MARAN,,
2342,MASJID JAMEK TOK WAN,"KAMPUNG BELIMBING, PENYOR, 26030 GAMBANG.",PAHANG,KUANTAN BARAT,,
2343,MASJID BABUT TAQWA,"KG. SUNGAI IMAM, TAWAU.",SABAH,TAW - TAWAU,,
2344,MASJID NURUL HIDAYAH,"RANCANGAN BLOK 31, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2345,MASJID AL LIASSIAH,"KG. PASIR GARAM, PERAK",PERAK,KG. GAJAH,195944452,
2346,MASJID AL-KHAIRAT,"KG. RANCANGAN BARGASONG, PULAU SEBATIK TAWAU",SABAH,TAW - TAWAU,,
2347,MASJID AT-TAQWA,"KG. WALLACE BAY, PULAU SEBATIK, TAWAU.",SABAH,TAW - TAWAU,,
2348,MASJID NURUL IMAN,"KG. PINANG LADANG TIGER BAL, TAWAU.",SABAH,TAW - TAWAU,,
2349,MASJID NURUL IMAN bt 8 ijok,"BATU 8 KG IJOK, 45600 BTG BERJUNTAI,",SELANGOR,KUALA SELANGOR,013-3388540,
2350,MASJID RANTAU PANJANG,"SUNGAI DARAH 45600 BESTARI JAYA, BTG BERJUNTAI",SELANGOR,KUALA SELANGOR,019-2864754,
2351,MASJID AL - AWWABIN,"PEKAN BESTARI JAYA, 45600 BATANG BERJUNTAI",SELANGOR,KUALA SELANGOR,019-2696176,
2352,MASJID AR -RAHMAN,"KG. BUKIT BADONG, 45600 BATANG BERJUNTAI",SELANGOR,KUALA SELANGOR,019-6540456,
2353,MASJID AR - RIDZUAN,"KAMPUNG BESTARI JAYA, 45600 BATANG BERJUNTAI",SELANGOR,KUALA SELANGOR,017-2241696,
2354,MASJID DARUL IBADAH,"KG. HARMONI, 45600 BATANG BERJUNTAI",SELANGOR,KUALA SELANGOR,019-3405535,
2355,MASJID KG. SUNGAI GULANG - GULANG,"KG. SUNGAI GULANG - GULANG, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,019-2104838,
2356,MASJID AHMADIAH,"KG. UJONG PEMATANG, 45000 KUALA SELANGOR",SELANGOR,KUALA SELANGOR,012-9140988,
2357,MASJID NURUL HASANAH,"KG. BUKIT BELIMBING, 45000 KUALA SELANGOR",SELANGOR,KUALA SELANGOR,019-2710372,
2358,MASJID PEKAN KUALA SELANGOR,45000 KUALA SELANGOR,SELANGOR,KUALA SELANGOR,012-3081543,
2359,MASJID JAMEK SULTAN IBRAHIM,45000 KUALA SELANGOR,SELANGOR,KUALA SELANGOR,,
2360,MASJID RAHMANI KAMPUNG PERMATANG,"KAMPUNG PERMATANG, 45000 KUALA SELANGOR",SELANGOR,KUALA SELANGOR,019-3066808,
2361,"MASJID DARUL IMAN, PARIT SERONG","PARIT SERONG, 45500 TANJUNG KARANG",SELANGOR,KUALA SELANGOR,017-3370804,
2362,"MASJID AL-HUDA, PADANG MATSIRAT","MUKIM PADANG MATSIRAT, 07000 KUAH, LANGKAWI",KEDAH,LANGKAWI,,
2363,MASJID KG ASSAM JAWA,KAMPUNG ASSAM JAWA 45700 BUKIT ROTAN,SELANGOR,KUALA SELANGOR,019-2667179,
2364,"MASJID AL- WAFA, PULAU TUBA","MUKIM KUAH,07000 KUAH,LANGKAWI",KEDAH,LANGKAWI,,
2365,MASJID JAMIUL MUHAMMADIAH,KG. KUANTAN / PASANGAN 45600 BESTARI JAYA,SELANGOR,KUALA SELANGOR,176525059,
2366,"MASJID NUR AL-HIDAYAH, KELIBANG","MUKIM KUAH, 07000 KUAH, LANGKAWI",KEDAH,LANGKAWI,,
2367,"MASJID ATTASNIM, BAYAS","MUKIM ULU MELAKA, 07000 KUAH, LANGKAWI",KEDAH,LANGKAWI,,
2368,MASJID AR - RAHMAN,"KAMPUNG RAJA MUSA, 45000 KUALA SELANGOR",SELANGOR,KUALA SELANGOR,019-3033924,
2369,"MASJID RIYADZUSSOLIHIN,PADANG LALANG","MUKIM AYER HANGAT,07000 LANGKAWI",KEDAH,LANGKAWI,,
2370,MASJID AL - HIDAYAH,"KG. SUNGAI TERAP, 45500 TANJUNG KARANG",SELANGOR,KUALA SELANGOR,017-6266967,
2371,MASJID FELDA BKT. CHERAKAH,45800 JERAM,SELANGOR,KUALA SELANGOR,012-5050232,
2372,"MASJID AL-FALAH, PADANG KANDANG","PADANG KANDANG, 07000 KUAH, LANGKAWI",KEDAH,LANGKAWI,,
2373,"MASJID AL-HANA, KUAH",MUKIM KUAH 07000 KUAH LANGKAWI,KEDAH,LANGKAWI,,
2374,MASJID DARUL FALAH,"KG. BUKIT HIJAU , 45800 JERAM",SELANGOR,KUALA SELANGOR,019-6692573,
2375,MASJID AT - TOHIROH,BUKIT KERAYONG 45800 JERAM,SELANGOR,KUALA SELANGOR,019-3357327,
2376,MASJID AL-TAQWA KISAP,"KG. KISAP, MUKIM KUAH07000 KUAHLANGKAWI",KEDAH,LANGKAWI,,
2377,MASJID DARUSSALAM,"KG. BUKIT KUCHING, 45800 JERAM",SELANGOR,KUALA SELANGOR,012-6366579,
2378,MASJID AR- RAHMAH,"KG ( F ) LEMBAH KLAU, GALI, 27680 RAUB.",PAHANG,RAUB,09-3687589,
2379,MASJID AN - NAIM,"KG. TAMBAK JAWA, SG. SEMBILANG, 45800 JERAM",SELANGOR,KUALA SELANGOR,012-2625413,
2380,MASJID FELDA LAKUM,FELDA LAKUM 28050 LANCHANG,PAHANG,TEMERLOH,,
2381,MASJID NURUL HIDAYAH,"SIMPANG 3 JERAM, 45800 JERAM",SELANGOR,KUALA SELANGOR,019-3678911,
2382,MASJID AL-MA'AROF,"KAMPUNG DURIAN SEBATANG, GALI, 27600 RAUB",PAHANG,RAUB,,
2383,MASJID JAMEK PEKAN SUNGAI BULOH,"JALAN BESAR SUNGAI BULOH, 45800 JERAM",SELANGOR,KUALA SELANGOR,019-3310580,
2384,"MASJID AL-HIDAYAH,","KAMPUNG PINTU PADANG. GALI, 27600 RAUB.",PAHANG,RAUB,09-3689964,
2385,"MASJID NURUNNAIM, BUKIT TEMIN",MUKIM ULU MELAKA 07000 KUAH LANGKAWI,KEDAH,LANGKAWI,,
2386,MASJID NURUL AMIN,"KG. BUKIT KUCHING TENGAH, 45800 JERAM",SELANGOR,KUALA SELANGOR,013-2329067,
2387,MASJID KAMPUNG GALI,MASJID KAMPUNG GALI 27600 RAUB PAHANG DARUL MAKMUR.,PAHANG,RAUB,09-3659841,
2388,MASJID NURUL IMAN,"KG. BUKIT CHERAKAH, 45800 JERAM",SELANGOR,KUALA SELANGOR,019-2413814,
2389,"MASJID AL-FALAH, SELAT BAGAN NYIOR",MUKIM KUAH07000 KUAHLANGKAWI,KEDAH,LANGKAWI,,
2390,MASJID JAMEK AR-RIDHUAN,"SIMPANG 4 PEKAN JERAM, KUALA SELANGOR",SELANGOR,KUALA SELANGOR,019-3737530,
2391,MASJID JAMEK ULU GALI TOK MACHANG,"MASJID JAMEK ULU GALI, 27600 RAUB.",PAHANG,RAUB,013-9433096,TIADA
2392,MASJID DARUSSALAM,"KG. MELATI BURUT ESTATE BAL, JALAN MEROTAI, TAWAU.",SABAH,TAW - TAWAU,,
2393,"MASJID NURUL ISLAM, SUNGAI ITAU",MUKIM AYER HANGAT 07000 LANGKAWI,KEDAH,LANGKAWI,04-9593291,
2394,MASJID JAMIUL HUDA,"KG. API - API, 45700 BUKIT ROTAN, KUALA SELANGOR",SELANGOR,KUALA SELANGOR,019-2754657,
2395,MASJID KAMPUNG SUNGAI PASU,"GALI, 27600 RAUB.",PAHANG,RAUB,199888175,
2396,MASJID KG. SEMPAM BARU,"JALAN CHEROH, 27600 RAUB",PAHANG,RAUB,09-3562290,
2397,MASJID SETIA RAJA MUKAH,"BANDAR BARU MUKAH, MUKAH",SARAWAK,MUKAH,,
2398,MASJID AL-FIRDAUS,"KG. BALONG KOKOS, PETI SURAT NO. 696, BATU 26, 91007, JALAN APAS, TAWAU.",SABAH,TAW - TAWAU,,
2399,MASJID ( F ) KRAU 1,"MASJID (F) KRAU 1 P/S 15, GALI, 27607 RAUB, PAHANG DARUL MAKMUR.",PAHANG,RAUB,09-3556725,
2400,MASJID NURUL HUDA,"KG. JUDAN,MUKAH",SARAWAK,MUKAH,,
2401,MASJID NURUL HIDAYAH,"KG. BATU PAYONG, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2402,MASJID AL-NASIR KAMPUNG AJAI,"DONG, 27400 RAUB.",PAHANG,RAUB,,
2403,MASJID AL-MUTAHHARAH,"KG. SUNGAI TONGKANG, TAWAU.",SABAH,TAW - TAWAU,,
2404,MASJID RPS SUNGAI CHALIT,"MASJID RPS SUNGAI CHALIT P/S 14, GALI, 27400 RAUB, PAHANG DARUL MAKMUR.",PAHANG,RAUB,199029033,
2405,MASJID HIJRAH KAMPUNG SEGA LAMA,"MASJID HIJRAH KAMPUNG SEGA LAMA, 27660 RAUB.",PAHANG,RAUB,019-9220825,
2406,MASJID ASSOFIAH KEDA WANG TOK RENDONG,(KEDA) JALAN KISAP07000 KUAHLANGKAWI,KEDAH,LANGKAWI,,
2407,MASJID JAMEK KG. RANGGU,"KG. RANGGU, BATU 9 JALAN APAS TAWAU.",SABAH,TAW - TAWAU,,
2408,MASJID AL HUDA,"KG. SG. KUT TENGAH, DALAT, MUKAH",SARAWAK,DALAT,,
2409,MASJID SENGKELA,"MASJID KAMPUNG SENGKELA, 27400 RAUB, PAHANG DARUL MAKMUR.",PAHANG,RAUB,199096814,
2410,MASJID CHENUA,"MASJID KAMPUNG CHENUA, SEGA, 27660 RAUB, PAHANG DARUL MAKMUR.",PAHANG,RAUB,017-9830646,
2411,MASJID AN NUR,"KG. BALAN, DALAT, MUKAH",SARAWAK,DALAT,,
2412,MASJID AL-UBUDIAH,"KG. BRUMAS CAMP, TAWAU.",SABAH,TAW - TAWAU,,
2413,MASJID ULU ATOK,"MASJID SEGA, 27600 RAUB, PAHANG DARUL MAKMUR.",PAHANG,RAUB,,
2414,MASJID AT TAQWA,"KG. OYA, OYA, MUKAH",SARAWAK,DALAT,,
2415,MASJID KUALA ATOK,MASJID KUALA ATOK 27600 RAUB PAHANG DARUL MAKMUR.,PAHANG,RAUB,1112973533,
2416,"MASJID NURUSSAADAH, KILIM",MUKIM AYER HANGAT 07000 KUAH LANGKAWI,KEDAH,LANGKAWI,,
2417,MASJID AS SALAM,"KAMPUNG TEH, OYA, MUKAH",SARAWAK,DALAT,,
2418,MASJID NURUL AMAL,"PUSAT PERHUTANAN LUASONG, TAWAU.",SABAH,TAW - TAWAU,,
2419,"MASJID SAIDINA ABU BAKAR ASSIDDIQ, CHANDEK KURA",MUKIM KEDAWANG 07000 LANGKAWI,KEDAH,LANGKAWI,,
2420,MASJID AIR HITAM DARAT ( AS-SALAM ),"KM. 33.6, KG. AIR HITAM DARAT, MASJID TANAH",MELAKA,ALOR GAJAH,,
2421,MASJID BANDAR TAWAU,"PETI SURAT 765, 91008 TAWAU.",SABAH,TAW - TAWAU,,
2422,MASJID QURROTU'AYUN (BUKIT TUNGGAL),MUKIM KUAH 07000 LANGKAWI,KEDAH,LANGKAWI,,
2423,MASJID AIR HITAM PANTAI ( NUR JANNAH ),"KM. 36.8, KAMPUNG AYER HITAM PANTAI 78300 MASJID TANAH,MELAKA.",MELAKA,ALOR GAJAH,,
2424,MASJID JERAM BESU,"MASJID KAMPUNG JERAM BESU, SEGA, 27300 RAUB.",PAHANG,RAUB,017-9487010,
2425,MASJID AIR LIMAU (RAUDHATUL SOLIHIN),"KM. 30, KG. AIR LIMAU, 78300 MASJID TANAH",MELAKA,ALOR GAJAH,,
2426,MASJID HIDAYATUL IMAN,"KG. MEROTAI BESAR, TAWAU.",SABAH,TAW - TAWAU,,
2427,MASJID MUADZAM SHAH,MUKIM BELIMBING KANAN 06300 KUALA NERANG,KEDAH,PADANG TERAP,,
2428,MASJID AIR MOLEK KUALA SUNGAI BARU (AR-RAFAE),"Km 43.7, Kg Air Molek 78200 Kuala Sg Baru Melaka.",MELAKA,ALOR GAJAH,,
2429,MASJID DARUL IBADAH,"KG. TEKAJONG, DARO, MUKAH",SARAWAK,DARO,,
2430,MASJID KAMPONG BAROKHAS,MUKIM BELIMBING KANAN06300 KUALA NERANG,KEDAH,PADANG TERAP,,
2431,MASJID KAMPUNG TERSAN,"PENGERUSI MASJID KAMPUNG TERSAN, D/A:ABDUL RAHMAN BIN ALI KG. TERSAN, 27610 RAUB PAHANG DARUL MAKMUR.",PAHANG,RAUB,019-9026526 / 0,
2432,MASJID AIR PAABAS (SAGA),"BATU 21.5, AYER PAABAS, 78000 ALOR GAJAH, MELAKA.",MELAKA,ALOR GAJAH,,
2433,MASJID RAYA TAWAU,"MASJID RAYA TAWAU, PETI SURAT NO. 513, 91000, TAWAU.",SABAH,TAW - TAWAU,,
2434,MASJID AL-FALAH KG. BUKIT NAMBUA,MUKIM PADANG TEMAK06300 KUALA NERANGKEDAH,KEDAH,PADANG TERAP,,
2435,MASJID BANDAR SAHABAT SINDUMIN,"PEJABAT JHEAINS, BANGUNAN URUSETIA LAMA, P/S 133, 89857 SIPITANG",SABAH,BPB - SIPITANG,138661821,
2436,MASJID PAMAH KULAT,"ULU DONG, 27600 RAUB.",PAHANG,RAUB,199638573,
2437,"MASJID KG. PANTAI, SIPITANG","PEJABAT JHEAINS, BANGUNAN URUSETIA LAMA, P/S 133, 89857 SIPITANG",SABAH,BPB - SIPITANG,109532755,
2438,MASJID BELIMBING DALAM (IMAM MUSLIM),"KM. 17.6, BELIMBING DALAM, 76100 DURIAN TUNGGAL",MELAKA,ALOR GAJAH,,
2439,MASJID kg pamah rawas,"MASJID kg pamah rawas, ulu dong 27600 raub, pahang",PAHANG,RAUB,019-9638092,
2440,MASJID KAMPUNG ULU SIPITANG,"PEJABAT JHEAINS, BANGUNAN URUSETIA LAMA, P/S 133, 89857 SIPITANG.",SABAH,BPB - SIPITANG,195849053,
2441,MASJID BERINGIN (AN-NUR),"KM. 21.4, BERINGIN, 76100 DURIAN TUNGGAL",MELAKA,ALOR GAJAH,,
2442,MASJID KG RAMBUTAN,MUKIM PADANG TEMAK06300 KUALA NERANGKEDAH,KEDAH,PADANG TERAP,,
2443,MASJID BUKIT PAMPONG,"KAMPUNG BUKIT PAMPONG, DONG, 27400 RAUB.",PAHANG,RAUB,09-3659730,
2444,MASJID TUNKU ABDUL RAHMAN,"KG. MASJID, DARO, MUKAH",SARAWAK,DARO,,
2445,MASJID AL-AKRAM POKOK MACHANG,MUKIM PADANG TEMAK06300 KUALA NERANGKEDAH,KEDAH,PADANG TERAP,,
2446,MASJID AL-MUNAWWAR,MASJID AL-MUNAWWAR PEKAN LAMA KOTA MARUDU,SABAH,PBU - KOTA MARUDU,,
2447,MASJID BERISU (DAHARIYAH),"KM. 40, BERISU, 78100 LUBUK CINA, MELAKA.",MELAKA,ALOR GAJAH,,
2448,MASJID KUALA TEMAU,"MASJID KUALA TEMAU DONG, 27400 RAUB.",PAHANG,RAUB,,
2449,MASJID BUKIT BULAT (AL-HASSANIAH),"KM. 33.6, ALOR GAJAH, 78000 ALOR GAJAH",MELAKA,ALOR GAJAH,,
2450,MASJID KG. TEMAU TENGAH,"MASJID KAMPUNG TEMAU TENGAH, DONG, 27400 RAUB.",PAHANG,RAUB,09-3658030,
2451,MASJID NURURAHMAN,TAMAN MAWAR SANDAKAN.,SABAH,SAN - SANDAKAN,,
2452,MASJID KG NAI TEH,MUKIM PADANG TEMAK06300 KUALA NERANGKEDAH,KEDAH,PADANG TERAP,,
2453,MASJID DATUK JANGGUT,"KM. 32, DATUK JANGGUT, 76100 DURIAN TUNGGAL",MELAKA,ALOR GAJAH,,
2454,MASJID ULU JELU,"KAMPUNG ULU JELU, DONG, 27400 RAUB.",PAHANG,RAUB,136787876,
2455,MASJID KG. BINDU,"MUKIM 6, 83010 BATU PAHAT",JOHOR,BATU PAHAT,,
2456,MASJID AL-QUDWAH,"KG. BRUIT, DARO, MUKAH",SARAWAK,DARO,,
2457,MASJID KUALA KELOI,"KAMPUNG KUALA KELOI, DONG, 27400 RAUB.",PAHANG,RAUB,,
2458,MASJID DURIAN DAUN (AL-MUJIB),"KM. 32, DURIAN DAUN, 76100 DURIAN TUNGGAL, MELAKA.",MELAKA,ALOR GAJAH,,
2459,MASJID KUALA PAI( AL-ISLAH),MUKIM PADANG TEMAK06300 KUALA NERANG,KEDAH,PADANG TERAP,,
2460,MASJID LECHAR,"KAMPUNG LECHAR, DONG, 27400 RAUB.",PAHANG,RAUB,09-3630018,
2461,MASJID FELDA BUKIT TEMBAGA,MUKIM PADANG TEMAK 06300 KUALA NERANG,KEDAH,PADANG TERAP,,
2462,MASJID DURIAN TUNGGAL (AL-NAIM),"KM. 16, DURIAN TUNGGAL, 76100 DURIAN TUNGGAL",MELAKA,ALOR GAJAH,,
2463,MASJID JAMEK KAMPUNG DONG,"MASJID JAMEK KAMPUNG DONG KAMPUNG KUALA GALI, DONG, 27400 RAUB.",PAHANG,RAUB,,
2464,MASJID KAMPUNG TERSANG,"MASJID KAMPUNG TERSANG, BATU MALIM, 27610 RAUB.",PAHANG,RAUB,tiada,tiada
2465,MASJID FELCRA RAMUAN CHINA (AN-NAMIRAH),78100 LUBUK CINA,MELAKA,ALOR GAJAH,,
2466,MASJID ASSYAKIRIN,"RAMD, JALAN LAPANGAN TERBANG, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2467,MASJID KG. TANDOP BESAR,MUKIM TEKAI KANAN NAKA 06300 KUALA NERANG,KEDAH,PADANG TERAP,,
2468,MASJID ASSYAKIRIN,"JABATAN PENJARA, JALAN SIBUGA BATU 5, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2469,MASJID FELDA HUTAN PERCHA (AL-HIJRAH),"KM. 43.2, ALOR GAJAH, 78000 ALOR GAJAH",MELAKA,ALOR GAJAH,,
2470,MASJID AL-HIDAYAH PEKAN NAKA,"MUKIM TEKAI KANAN NAKA, 06350 ALOR STAR",KEDAH,PADANG TERAP,,
2471,MASJID ARRUSUL,"KAMPUNG JAWA 2, JALAN RANCANGAN SUNGAI MANILA BATU 12, PETI SURAT 953, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2472,MASJID BATU MALIM,"BATU TALAM, 27610 RAUB.",PAHANG,RAUB,,
2473,MASJID AL-FIRDAUS,"KAMPUNG PENIBONG, DARO, MUKAH",SARAWAK,DARO,,
2474,MASJID GADEK (AS-SYAKIRIN),"KM. 29.6, ALOR GAJAH, 78000 ALOR GAJAH",MELAKA,ALOR GAJAH,,
2475,MASJID PONG UTARA,"MUKIM TEKAI KANAN06300 ALOR STAR,KEDAH",KEDAH,PADANG TERAP,,
2476,MASJID BATU TALAM,"KAMPUNG BATU TALAM, 27610 RAUB.",PAHANG,RAUB,,
2477,MASJID GANGSA (IHSANUDDIN),"KM. 13, DURIAN TUNGGAL, 76100",MELAKA,ALOR GAJAH,,
2478,MASJID ULU SUNGAI,", BATU TALAM, 27600 RAUB.",PAHANG,RAUB,,
2479,MASJID AL-BARAKAH FELDA LUBOK MERBAU,MUKIM TEKAI KIRI 06350 ALOR STAR,KEDAH,PADANG TERAP,,
2480,MASJID TENGKU ABU BAKAR,"JALAN LIPIS, GALI, 29000 RAUB.",PAHANG,RAUB,199335106,
2481,MASJID KG KBG. KENYENG,MUKIM TEKAI KANAN 06350 ALOR STAR,KEDAH,PADANG TERAP,,
2482,MASJID AL-SULTAN ABDULLAH,"KM. 28.8,78300 MASJID TANAH,MELAKA.",MELAKA,ALOR GAJAH,,
2483,MASJID NUR UKHWAH GUGUSAN FELDA TERSANG,"MASJID NUR UKHWAH GUGUSAN FELDA TERSANG D/A PEJABAT MASJID FELDA GUGUSAN TERSANG, FELDA TERSANG 2,, BATU TALAM, 27610 RAUB.",PAHANG,RAUB,019-9669959,
2484,MASJID AT-TARMIZI KG. PADANG CHENDERAI,"MKM PDG TERAP KIRI 06300 KUALA NERANG KEDAH,",KEDAH,PADANG TERAP,,
2485,MASJID KAMPUNG BARU KUALA SUNGAI BARU (AS-SAKINAH),"KM. 43.2, KUALA SG. BARU, 78200 KUALA SG. BARU",MELAKA,ALOR GAJAH,,
2486,MASJID KG TANJONG PDG TERAP KANAN,MUKIM PDG TERAP KANAN 06350 KUALA NERANG,KEDAH,PADANG TERAP,,
2487,MASJID KUNDANG PATAH,"KAMPUNG KUNDANG PATAH, SEMANTAN, 27620 RAUB.",PAHANG,RAUB,179762659,
2488,MASJID KAMPUNG LADANG (AL-FATTAH),"KM. 43.2, KUALA SG. BARU, 78200 KUALA SG. BARU, MELAKA.",MELAKA,ALOR GAJAH,,
2489,MASJID ARRAHMAN,"KAMPUNG SEGALIUD, PETI SURAT 3297, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2490,MASJID AL-MA'ARIF KG PADANG GELANGGANG,MKM PDG TERAP KANAN 06300 KUALA NERANG KEDAH,KEDAH,PADANG TERAP,,
2491,MASJID KG. PULAU (AR-RAZAK),"KM.32, KAMPUNG PULAU, 78300 MASJID TANAH, MELAKA.",MELAKA,ALOR GAJAH,,
2492,MASJID NUR ISLAM,"KAMPUNG PULAU BERHALA LAUT, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2493,MASJID ZAINIAH KAMPUNG PISANG,MKM PADANG TERAP KIRI 06300 KUALA NERANG KEDAH,KEDAH,PADANG TERAP,,
2494,MASJID NURUL IMAN,"KAMPUNG PERTANIAN, BATU 25, PETI SURAT 1269, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2495,MASJID KAMPUNG TENGAH KUALA SUNGAI BARU (AL-HAFIZ),"KM. 46.6, KG. TENGAH, 78200 KUALA SG. BARU,MELAKA.",MELAKA,ALOR GAJAH,,
2496,MASJID MAHABBAH,"JALAN CHEROH, 27620 RAUB.",PAHANG,RAUB,,
2497,MASJID JAMIE ARRAHMAN,"PERINGKAT 6, RANCANGAN LUBOH, RANCANGAN SUNGAI MANILA, PETI SURAT 1253, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2498,MASJID KG. PADANG NYIOR,MUKIM PDG TERAP KIRI 06300 KUALA NERANG KEDAH,KEDAH,PADANG TERAP,,
2499,MASJID KELEMAK (AL-AMAN),"KM.23.2, KG. KELEMAK, 78000 ALOR GAJAH",MELAKA,ALOR GAJAH,,
2500,MASJID JAMEK KG. KUALA SEMANTAN,"MASJID JAMEK KAMPUNG KUALA SEMANTAN, SEMANTAN, 27600 RAUB.",PAHANG,RAUB,014-5430626,
2501,MASJID DATUK PANGIRAN GALPAM,"PETI SURAT 1468, BANDAR LABUK JAYA BATU, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2502,MASJID KEMUNING (AL-IKHWAN),"KM. 36.8, KEMUNING, 78000 ALOR GAJAH",MELAKA,ALOR GAJAH,,
2503,MASJID KAMPONG DATOK,MUKIM TEKAI KIRI 06350 KUALA NERANG KEDAH,KEDAH,PADANG TERAP,,
2504,MASJID GESING,"KAMPUNG GESING, SEMANTAN, 27400 RAUB.",PAHANG,RAUB,,
2505,MASJID JANNATUN NAIM,"TAMAN SRI TAMAN, BATU 3 1/2, PETI SURAT 1221, JALAN LABUK, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2506,MASJID AL-MUBARAK KAMPONG MASJID,"KG. MASJID LAMA, MUKIM TEKAI KIRI, NAKA 06350 KUALA NERANG",KEDAH,PADANG TERAP,,
2507,MASJID WAHDATUL UMMAH,"KAMPUNG PULAU BAMBANGAN, BEG BERKUNCI N0 02, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2508,MASJID KAMPUNG BARU ALOR GAJAH (AL-ANSAR),"KM. 29, ALOR GAJAH, 73000 TAMPIN",MELAKA,ALOR GAJAH,,
2509,MASJID KG KBG PALAS,MUKIM PDG TERAP KANAN 06300 KUALA NERANG,KEDAH,PADANG TERAP,,
2510,MASJID KUALA INA (ALEYAH),"KM. 36.8 â€“ PULAU SEBANG, 78000 ALOR GAJAH",MELAKA,ALOR GAJAH,,
2511,MASJID AR RAUDHAH,"KAMPUNG PERIK, SALAK UTARA 33600 ENGGOR, PERAK",PERAK,KUALA KANGSAR,195648032,tiada
2512,MASJID KG. PADANG SANAI,MUKIM PDG TERAP KIRI 06300 KUALA NERANG,KEDAH,PADANG TERAP,,
2513,MASJID NUR HIDAYAH,"KAMPUNG GARINONO, BATU 25 JALAN LABUK, W.D.T 60, SANDAKAN.",SABAH,SAN - SANDAKAN,,
2514,MASJID DARUL YAQIN,KAMPUNG SEKAAN BESAR,SARAWAK,MATU,,
